2025-08-06 21:46:34.984 | INFO     | qrcheck.app:log_middleware:136 - IP: 127.0.0.1 | User: Não registrado | Método: GET | Rota: /? | Status: 200 | Tempo: 0.005s | Navegador (User-Agent): Chrome 138.0.0 | SO: Windows 10 | Dispositivo: PC | Referer: 
2025-08-06 21:46:44.433 | INFO     | qrcheck.app:log_middleware:136 - IP: 127.0.0.1 | User: Não registrado | Método: GET | Rota: /? | Status: 200 | Tempo: 0.002s | Navegador (User-Agent): Chrome 138.0.0 | SO: Windows 10 | Dispositivo: PC | Referer: 
2025-08-06 21:47:40.124 | INFO     | qrcheck.app:log_middleware:136 - IP: 127.0.0.1 | User: Não registrado | Método: GET | Rota: /eventos/meus-eventos? | Status: 401 | Tempo: 0.002s | Navegador (User-Agent): Chrome 138.0.0 | SO: Windows 10 | Dispositivo: PC | Referer: http://localhost:5173/profile
2025-08-06 21:47:40.136 | INFO     | qrcheck.app:log_middleware:136 - IP: 127.0.0.1 | User: Não registrado | Método: GET | Rota: /eventos/meus-eventos? | Status: 401 | Tempo: 0.001s | Navegador (User-Agent): Chrome 138.0.0 | SO: Windows 10 | Dispositivo: PC | Referer: http://localhost:5173/profile
2025-08-06 21:47:40.316 | INFO     | qrcheck.app:log_middleware:136 - IP: 127.0.0.1 | User: Não registrado | Método: GET | Rota: /eventos/? | Status: 200 | Tempo: 0.206s | Navegador (User-Agent): Chrome 138.0.0 | SO: Windows 10 | Dispositivo: PC | Referer: http://localhost:5173/profile
2025-08-06 21:47:40.328 | INFO     | qrcheck.app:log_middleware:136 - IP: 127.0.0.1 | User: Não registrado | Método: GET | Rota: /eventos/? | Status: 200 | Tempo: 0.005s | Navegador (User-Agent): Chrome 138.0.0 | SO: Windows 10 | Dispositivo: PC | Referer: http://localhost:5173/profile
2025-08-06 21:47:40.874 | INFO     | qrcheck.app:log_middleware:136 - IP: 127.0.0.1 | User: Não registrado | Método: GET | Rota: /eventos/meus-eventos? | Status: 401 | Tempo: 0.003s | Navegador (User-Agent): Chrome 138.0.0 | SO: Windows 10 | Dispositivo: PC | Referer: http://localhost:5173/profile
2025-08-06 21:47:40.878 | INFO     | qrcheck.app:log_middleware:136 - IP: 127.0.0.1 | User: Não registrado | Método: GET | Rota: /eventos/? | Status: 200 | Tempo: 0.007s | Navegador (User-Agent): Chrome 138.0.0 | SO: Windows 10 | Dispositivo: PC | Referer: http://localhost:5173/profile
2025-08-06 21:47:41.682 | INFO     | qrcheck.app:log_middleware:136 - IP: 127.0.0.1 | User: Não registrado | Método: GET | Rota: /eventos/todas-inscricoes? | Status: 401 | Tempo: 0.001s | Navegador (User-Agent): Chrome 138.0.0 | SO: Windows 10 | Dispositivo: PC | Referer: http://localhost:5173/profile
2025-08-06 21:47:41.688 | INFO     | qrcheck.app:log_middleware:136 - IP: 127.0.0.1 | User: Não registrado | Método: GET | Rota: /eventos/todas-inscricoes? | Status: 401 | Tempo: 0.001s | Navegador (User-Agent): Chrome 138.0.0 | SO: Windows 10 | Dispositivo: PC | Referer: http://localhost:5173/profile
2025-08-06 21:47:42.391 | INFO     | qrcheck.app:log_middleware:136 - IP: 127.0.0.1 | User: Não registrado | Método: GET | Rota: /eventos/todas-inscricoes? | Status: 401 | Tempo: 0.002s | Navegador (User-Agent): Chrome 138.0.0 | SO: Windows 10 | Dispositivo: PC | Referer: http://localhost:5173/profile
