2025-08-11 20:59:22.534 | INFO     | qrcheck.app:log_middleware:136 - IP: 127.0.0.1 | User: Não registrado | Método: GET | Rota: /? | Status: 200 | Tempo: 0.041s | Navegador (User-Agent): Chrome 139.0.0 | SO: Windows 10 | Dispositivo: PC | Referer: 
2025-08-11 20:59:22.720 | INFO     | qrcheck.app:log_middleware:136 - IP: 127.0.0.1 | User: Não registrado | Método: GET | Rota: /favicon.ico? | Status: 404 | Tempo: 0.005s | Navegador (User-Agent): Chrome 139.0.0 | SO: Windows 10 | Dispositivo: PC | Referer: http://127.0.0.1:8000/
2025-08-11 20:59:55.293 | INFO     | qrcheck.app:log_middleware:136 - IP: 127.0.0.1 | User: Token expirado | Método: GET | Rota: /meu-perfil? | Status: 401 | Tempo: 0.076s | Navegador (User-Agent): Chrome 139.0.0 | SO: Windows 10 | Dispositivo: PC | Referer: http://localhost:5173/
2025-08-11 20:59:55.317 | INFO     | qrcheck.app:log_middleware:136 - IP: 127.0.0.1 | User: Token expirado | Método: GET | Rota: /meu-perfil? | Status: 401 | Tempo: 0.003s | Navegador (User-Agent): Chrome 139.0.0 | SO: Windows 10 | Dispositivo: PC | Referer: http://localhost:5173/
2025-08-11 21:00:12.241 | INFO     | qrcheck.app:log_middleware:136 - IP: 127.0.0.1 | User: Não registrado | Método: GET | Rota: /ocupacoes? | Status: 404 | Tempo: 0.011s | Navegador (User-Agent): Chrome 139.0.0 | SO: Windows 10 | Dispositivo: PC | Referer: http://localhost:5173/register
2025-08-11 21:00:12.257 | INFO     | qrcheck.app:log_middleware:136 - IP: 127.0.0.1 | User: Não registrado | Método: GET | Rota: /ocupacoes? | Status: 404 | Tempo: 0.001s | Navegador (User-Agent): Chrome 139.0.0 | SO: Windows 10 | Dispositivo: PC | Referer: http://localhost:5173/register
2025-08-11 21:11:00.021 | INFO     | qrcheck.app:log_middleware:136 - IP: 127.0.0.1 | User: Não registrado | Método: GET | Rota: /docs? | Status: 200 | Tempo: 0.027s | Navegador (User-Agent): Chrome 139.0.0 | SO: Windows 10 | Dispositivo: PC | Referer: 
2025-08-11 21:11:00.682 | INFO     | qrcheck.app:log_middleware:136 - IP: 127.0.0.1 | User: Não registrado | Método: GET | Rota: /openapi.json? | Status: 200 | Tempo: 0.388s | Navegador (User-Agent): Chrome 139.0.0 | SO: Windows 10 | Dispositivo: PC | Referer: http://127.0.0.1:8000/docs
2025-08-11 21:27:36.896 | INFO     | qrcheck.app:log_middleware:136 - IP: 127.0.0.1 | User: Não registrado | Método: POST | Rota: /admin/participantes/cadastro? | Status: 400 | Tempo: 0.271s | Navegador (User-Agent): Chrome 139.0.0 | SO: Windows 10 | Dispositivo: PC | Referer: http://localhost:5173/register
2025-08-11 21:28:07.406 | INFO     | qrcheck.app:log_middleware:136 - IP: 127.0.0.1 | User: Não registrado | Método: POST | Rota: /admin/participantes/cadastro? | Status: 422 | Tempo: 0.081s | Navegador (User-Agent): Chrome 139.0.0 | SO: Windows 10 | Dispositivo: PC | Referer: http://localhost:5173/register
2025-08-11 21:31:16.941 | INFO     | qrcheck.app:log_middleware:136 - IP: 127.0.0.1 | User: Não registrado | Método: POST | Rota: /admin/participantes/cadastro? | Status: 422 | Tempo: 0.066s | Navegador (User-Agent): Mobile Safari 16.6 | SO: iOS 16.6 | Dispositivo: Mobile | Referer: http://localhost:5173/register
2025-08-11 21:31:53.166 | INFO     | qrcheck.app:log_middleware:136 - IP: 127.0.0.1 | User: Não registrado | Método: POST | Rota: /admin/participantes/cadastro? | Status: 400 | Tempo: 0.712s | Navegador (User-Agent): Mobile Safari 16.6 | SO: iOS 16.6 | Dispositivo: Mobile | Referer: http://localhost:5173/register
2025-08-11 21:32:20.274 | INFO     | qrcheck.app:log_middleware:136 - IP: 127.0.0.1 | User: Não registrado | Método: GET | Rota: /ocupacoes? | Status: 404 | Tempo: 0.006s | Navegador (User-Agent): Mobile Safari 16.6 | SO: iOS 16.6 | Dispositivo: Mobile | Referer: http://localhost:5173/register
2025-08-11 21:32:20.290 | INFO     | qrcheck.app:log_middleware:136 - IP: 127.0.0.1 | User: Não registrado | Método: GET | Rota: /ocupacoes? | Status: 404 | Tempo: 0.001s | Navegador (User-Agent): Mobile Safari 16.6 | SO: iOS 16.6 | Dispositivo: Mobile | Referer: http://localhost:5173/register
2025-08-11 21:32:54.105 | INFO     | qrcheck.app:log_middleware:136 - IP: 127.0.0.1 | User: Não registrado | Método: DELETE | Rota: /admin/participantes/deletar/4? | Status: 204 | Tempo: 0.227s | Navegador (User-Agent): Chrome 139.0.0 | SO: Windows 10 | Dispositivo: PC | Referer: http://127.0.0.1:8000/docs
2025-08-11 21:33:55.466 | INFO     | qrcheck.app:log_middleware:136 - IP: 127.0.0.1 | User: Não registrado | Método: POST | Rota: /admin/participantes/cadastro? | Status: 400 | Tempo: 0.041s | Navegador (User-Agent): Chrome 139.0.0 | SO: Windows 10 | Dispositivo: PC | Referer: http://localhost:5173/register
2025-08-11 21:34:28.313 | INFO     | qrcheck.app:log_middleware:136 - IP: 127.0.0.1 | User: Não registrado | Método: POST | Rota: /admin/participantes/cadastro? | Status: 201 | Tempo: 0.308s | Navegador (User-Agent): Chrome 139.0.0 | SO: Windows 10 | Dispositivo: PC | Referer: http://localhost:5173/register
2025-08-11 21:37:31.268 | INFO     | qrcheck.app:log_middleware:136 - IP: 127.0.0.1 | User: Não registrado | Método: GET | Rota: /ocupacoes? | Status: 404 | Tempo: 0.028s | Navegador (User-Agent): Chrome 139.0.0 | SO: Windows 10 | Dispositivo: PC | Referer: http://localhost:5173/register
2025-08-11 21:37:31.307 | INFO     | qrcheck.app:log_middleware:136 - IP: 127.0.0.1 | User: Não registrado | Método: GET | Rota: /ocupacoes? | Status: 404 | Tempo: 0.001s | Navegador (User-Agent): Chrome 139.0.0 | SO: Windows 10 | Dispositivo: PC | Referer: http://localhost:5173/register
2025-08-11 21:37:53.496 | INFO     | qrcheck.app:log_middleware:136 - IP: 127.0.0.1 | User: Não registrado | Método: POST | Rota: /admin/participantes/cadastro? | Status: 400 | Tempo: 0.048s | Navegador (User-Agent): Chrome 139.0.0 | SO: Windows 10 | Dispositivo: PC | Referer: http://localhost:5173/register
2025-08-11 21:38:09.611 | INFO     | qrcheck.app:log_middleware:136 - IP: 127.0.0.1 | User: Não registrado | Método: POST | Rota: /admin/participantes/cadastro? | Status: 400 | Tempo: 0.066s | Navegador (User-Agent): Chrome 139.0.0 | SO: Windows 10 | Dispositivo: PC | Referer: http://localhost:5173/register
2025-08-11 21:38:14.041 | INFO     | qrcheck.app:log_middleware:136 - IP: 127.0.0.1 | User: Não registrado | Método: POST | Rota: /admin/participantes/cadastro? | Status: 400 | Tempo: 0.008s | Navegador (User-Agent): Chrome 139.0.0 | SO: Windows 10 | Dispositivo: PC | Referer: http://localhost:5173/register
2025-08-11 21:38:27.443 | INFO     | qrcheck.app:log_middleware:136 - IP: 127.0.0.1 | User: Não registrado | Método: POST | Rota: /admin/participantes/cadastro? | Status: 400 | Tempo: 0.009s | Navegador (User-Agent): Chrome 139.0.0 | SO: Windows 10 | Dispositivo: PC | Referer: http://localhost:5173/register
2025-08-11 21:38:48.092 | INFO     | qrcheck.app:log_middleware:136 - IP: 127.0.0.1 | User: Não registrado | Método: POST | Rota: /admin/participantes/cadastro? | Status: 400 | Tempo: 0.006s | Navegador (User-Agent): Chrome 139.0.0 | SO: Windows 10 | Dispositivo: PC | Referer: http://localhost:5173/register
2025-08-11 21:38:57.706 | INFO     | qrcheck.app:log_middleware:136 - IP: 127.0.0.1 | User: Não registrado | Método: POST | Rota: /admin/participantes/cadastro? | Status: 400 | Tempo: 0.008s | Navegador (User-Agent): Chrome 139.0.0 | SO: Windows 10 | Dispositivo: PC | Referer: http://localhost:5173/register
2025-08-11 21:39:00.004 | INFO     | qrcheck.app:log_middleware:136 - IP: 127.0.0.1 | User: Não registrado | Método: POST | Rota: /admin/participantes/cadastro? | Status: 400 | Tempo: 0.008s | Navegador (User-Agent): Chrome 139.0.0 | SO: Windows 10 | Dispositivo: PC | Referer: http://localhost:5173/register
2025-08-11 21:39:29.347 | INFO     | qrcheck.app:log_middleware:136 - IP: 127.0.0.1 | User: Não registrado | Método: DELETE | Rota: /admin/participantes/deletar/5? | Status: 204 | Tempo: 0.163s | Navegador (User-Agent): Chrome 139.0.0 | SO: Windows 10 | Dispositivo: PC | Referer: http://127.0.0.1:8000/docs
2025-08-11 21:39:52.616 | INFO     | qrcheck.app:log_middleware:136 - IP: 127.0.0.1 | User: Não registrado | Método: POST | Rota: /admin/participantes/cadastro? | Status: 201 | Tempo: 0.163s | Navegador (User-Agent): Chrome 139.0.0 | SO: Windows 10 | Dispositivo: PC | Referer: http://localhost:5173/register
2025-08-11 21:41:47.038 | INFO     | qrcheck.app:log_middleware:136 - IP: 127.0.0.1 | User: Não registrado | Método: POST | Rota: /auth/token? | Status: 200 | Tempo: 0.672s | Navegador (User-Agent): Chrome 139.0.0 | SO: Windows 10 | Dispositivo: PC | Referer: http://localhost:5173/login
2025-08-11 21:41:47.167 | INFO     | qrcheck.app:log_middleware:136 - IP: 127.0.0.1 | User: 356303e5-4f99-4781-b984-13bbabdbe09b | Método: GET | Rota: /meu-perfil? | Status: 200 | Tempo: 0.049s | Navegador (User-Agent): Chrome 139.0.0 | SO: Windows 10 | Dispositivo: PC | Referer: http://localhost:5173/login
2025-08-11 21:41:47.312 | INFO     | qrcheck.app:log_middleware:136 - IP: 127.0.0.1 | User: 356303e5-4f99-4781-b984-13bbabdbe09b | Método: GET | Rota: /meu-perfil? | Status: 200 | Tempo: 0.01s | Navegador (User-Agent): Chrome 139.0.0 | SO: Windows 10 | Dispositivo: PC | Referer: http://localhost:5173/profile
2025-08-11 21:41:47.332 | INFO     | qrcheck.app:log_middleware:136 - IP: 127.0.0.1 | User: 356303e5-4f99-4781-b984-13bbabdbe09b | Método: GET | Rota: /meu-perfil? | Status: 200 | Tempo: 0.01s | Navegador (User-Agent): Chrome 139.0.0 | SO: Windows 10 | Dispositivo: PC | Referer: http://localhost:5173/profile
2025-08-11 21:47:12.439 | INFO     | qrcheck.app:log_middleware:136 - IP: 127.0.0.1 | User: 356303e5-4f99-4781-b984-13bbabdbe09b | Método: GET | Rota: /meu-perfil? | Status: 200 | Tempo: 0.282s | Navegador (User-Agent): Chrome 139.0.0 | SO: Windows 10 | Dispositivo: PC | Referer: http://localhost:5173/profile
2025-08-11 21:47:12.491 | INFO     | qrcheck.app:log_middleware:136 - IP: 127.0.0.1 | User: 356303e5-4f99-4781-b984-13bbabdbe09b | Método: GET | Rota: /meu-perfil? | Status: 200 | Tempo: 0.013s | Navegador (User-Agent): Chrome 139.0.0 | SO: Windows 10 | Dispositivo: PC | Referer: http://localhost:5173/profile
2025-08-11 21:47:12.586 | INFO     | qrcheck.app:log_middleware:136 - IP: 127.0.0.1 | User: 356303e5-4f99-4781-b984-13bbabdbe09b | Método: GET | Rota: /meu-perfil? | Status: 200 | Tempo: 0.014s | Navegador (User-Agent): Chrome 139.0.0 | SO: Windows 10 | Dispositivo: PC | Referer: http://localhost:5173/profile
2025-08-11 21:47:12.612 | INFO     | qrcheck.app:log_middleware:136 - IP: 127.0.0.1 | User: 356303e5-4f99-4781-b984-13bbabdbe09b | Método: GET | Rota: /meu-perfil? | Status: 200 | Tempo: 0.016s | Navegador (User-Agent): Chrome 139.0.0 | SO: Windows 10 | Dispositivo: PC | Referer: http://localhost:5173/profile
2025-08-11 21:47:17.831 | INFO     | qrcheck.app:log_middleware:136 - IP: 127.0.0.1 | User: 356303e5-4f99-4781-b984-13bbabdbe09b | Método: GET | Rota: /meu-perfil? | Status: 200 | Tempo: 0.013s | Navegador (User-Agent): Chrome 139.0.0 | SO: Windows 10 | Dispositivo: PC | Referer: http://localhost:5173/
2025-08-11 21:47:17.855 | INFO     | qrcheck.app:log_middleware:136 - IP: 127.0.0.1 | User: 356303e5-4f99-4781-b984-13bbabdbe09b | Método: GET | Rota: /meu-perfil? | Status: 200 | Tempo: 0.015s | Navegador (User-Agent): Chrome 139.0.0 | SO: Windows 10 | Dispositivo: PC | Referer: http://localhost:5173/
2025-08-11 21:47:20.273 | INFO     | qrcheck.app:log_middleware:136 - IP: 127.0.0.1 | User: 356303e5-4f99-4781-b984-13bbabdbe09b | Método: GET | Rota: /ocupacoes? | Status: 404 | Tempo: 0.005s | Navegador (User-Agent): Chrome 139.0.0 | SO: Windows 10 | Dispositivo: PC | Referer: http://localhost:5173/register
2025-08-11 21:47:20.284 | INFO     | qrcheck.app:log_middleware:136 - IP: 127.0.0.1 | User: 356303e5-4f99-4781-b984-13bbabdbe09b | Método: GET | Rota: /ocupacoes? | Status: 404 | Tempo: 0.001s | Navegador (User-Agent): Chrome 139.0.0 | SO: Windows 10 | Dispositivo: PC | Referer: http://localhost:5173/register
2025-08-11 21:47:31.121 | INFO     | qrcheck.app:log_middleware:136 - IP: 127.0.0.1 | User: Não registrado | Método: DELETE | Rota: /admin/participantes/deletar/6? | Status: 204 | Tempo: 0.07s | Navegador (User-Agent): Chrome 139.0.0 | SO: Windows 10 | Dispositivo: PC | Referer: http://127.0.0.1:8000/docs
2025-08-11 21:47:37.184 | INFO     | qrcheck.app:log_middleware:136 - IP: 127.0.0.1 | User: Não registrado | Método: DELETE | Rota: /admin/participantes/deletar/6? | Status: 404 | Tempo: 0.01s | Navegador (User-Agent): Chrome 139.0.0 | SO: Windows 10 | Dispositivo: PC | Referer: http://127.0.0.1:8000/docs
2025-08-11 21:47:39.168 | INFO     | qrcheck.app:log_middleware:136 - IP: 127.0.0.1 | User: Não registrado | Método: GET | Rota: /docs? | Status: 200 | Tempo: 0.009s | Navegador (User-Agent): Chrome 139.0.0 | SO: Windows 10 | Dispositivo: PC | Referer: 
2025-08-11 21:47:39.399 | INFO     | qrcheck.app:log_middleware:136 - IP: 127.0.0.1 | User: Não registrado | Método: GET | Rota: /openapi.json? | Status: 200 | Tempo: 0.017s | Navegador (User-Agent): Chrome 139.0.0 | SO: Windows 10 | Dispositivo: PC | Referer: http://127.0.0.1:8000/docs
2025-08-11 21:48:23.698 | INFO     | qrcheck.app:log_middleware:136 - IP: 127.0.0.1 | User: 356303e5-4f99-4781-b984-13bbabdbe09b | Método: POST | Rota: /admin/participantes/cadastro? | Status: 400 | Tempo: 0.045s | Navegador (User-Agent): Chrome 139.0.0 | SO: Windows 10 | Dispositivo: PC | Referer: http://localhost:5173/register
2025-08-11 21:48:40.730 | INFO     | qrcheck.app:log_middleware:136 - IP: 127.0.0.1 | User: 356303e5-4f99-4781-b984-13bbabdbe09b | Método: POST | Rota: /admin/participantes/cadastro? | Status: 201 | Tempo: 0.195s | Navegador (User-Agent): Chrome 139.0.0 | SO: Windows 10 | Dispositivo: PC | Referer: http://localhost:5173/register
